area,header,class,method,method_line,method_status,matched_capi,triage,priority,generator_action,signature,source,note
modules/svg,modules/svg/include/SkSVGContainer.h,SkSVGContainer,appendChild,7,covered,SkSVGNode_appendChild,real_gap,P2,covered_by_generic_svg_node_child_api,void appendChild(sk_sp<SkSVGNode>) override;,Phase 18 SVG polish,SkSVGNode_appendChild retains the child and invokes the virtual appendChild entry point without consuming the caller-owned node.
modules/svg,modules/svg/include/SkSVGFeLightSource.h,SkSVGFeLightSource,appendChild,8,covered,SkSVGNode_appendChild,real_gap,P2,covered_by_generic_svg_node_child_api,"void appendChild(sk_sp<SkSVGNode>) final { SkDebugf(""cannot append child nodes to an SVG light source.\n""); }",Phase 18 SVG polish,SkSVGNode_appendChild covers this virtual entry point; this implementation intentionally rejects children inside Skia.
modules/svg,modules/svg/include/SkSVGImage.h,SkSVGImage,appendChild,11,covered,SkSVGNode_appendChild,real_gap,P2,covered_by_generic_svg_node_child_api,"void appendChild(sk_sp<SkSVGNode>) override { SkDebugf(""cannot append child nodes to this element.\n""); }",Phase 18 SVG polish,SkSVGNode_appendChild covers this virtual entry point; this implementation intentionally rejects children inside Skia.
modules/svg,modules/svg/include/SkSVGNode.h,SkSVGNode,appendChild,87,covered,SkSVGNode_appendChild,real_gap,P2,covered_by_generic_svg_node_child_api,virtual void appendChild(sk_sp<SkSVGNode>) = 0;,Phase 18 SVG polish,SkSVGNode_appendChild is the C ABI surface for the virtual appendChild entry point and retains the child.
modules/svg,modules/svg/include/SkSVGShape.h,SkSVGShape,appendChild,10,covered,SkSVGNode_appendChild,real_gap,P2,covered_by_generic_svg_node_child_api,void appendChild(sk_sp<SkSVGNode>) override;,Phase 18 SVG polish,SkSVGNode_appendChild covers this no-child shape override.
modules/svg,modules/svg/include/SkSVGText.h,SkSVGTextLiteral,appendChild,80,covered,SkSVGNode_appendChild,real_gap,P2,covered_by_generic_svg_node_child_api,void appendChild(sk_sp<SkSVGNode>) override {},Phase 18 SVG polish,SkSVGNode_appendChild covers this no-op text literal override.
modules/svg,modules/svg/include/SkSVGUse.h,SkSVGUse,appendChild,8,covered,SkSVGNode_appendChild,real_gap,P2,covered_by_generic_svg_node_child_api,void appendChild(sk_sp<SkSVGNode>) override;,Phase 18 SVG polish,SkSVGNode_appendChild covers this no-child use override.
modules/svg,modules/svg/include/SkSVGNode.h,SkSVGNode,render,88,na,,na,P2,render_context_internal,void render(const SkSVGRenderContext&) const;,Phase 18 SVG polish,SkSVGDOM_render and SkSVGDOM_renderNode are the stable C ABI render entry points; direct SkSVGRenderContext is stack-only internal plumbing.
modules/svg,modules/svg/include/SkSVGNode.h,SkSVGNode,asPaint,88,na,,na,P2,render_context_internal,"bool asPaint(const SkSVGRenderContext&, SkPaint*) const;",Phase 18 SVG polish,Requires direct SkSVGRenderContext and mutable SkPaint output; keep behind higher-level DOM/render APIs.
modules/svg,modules/svg/include/SkSVGNode.h,SkSVGNode,asPath,88,na,,na,P2,render_context_internal,SkPath asPath(const SkSVGRenderContext&) const;,Phase 18 SVG polish,Requires direct SkSVGRenderContext; path extraction needs a separate high-level API design if exposed.
modules/svg,modules/svg/include/SkSVGNode.h,SkSVGNode,objectBoundingBox,88,na,,na,P2,render_context_internal,SkRect objectBoundingBox(const SkSVGRenderContext&) const;,Phase 18 SVG polish,Requires direct SkSVGRenderContext and OBB scope; keep out of stable C ABI until a higher-level SVG editing API needs it.
modules/svg,modules/svg/include/SkSVGNode.h,SkSVGNode,SVG_PRES_ATTR,87,false_positive,,false_positive,P0,macro_expansion_not_direct_method,"SVG_PRES_ATTR(ClipRule , SkSVGFillRule , true) SVG_PRES_ATTR(Color , SkSVGColorType , true) SVG_PRES_ATTR(ColorInterpolation , SkSVGColorspace, true) SVG_PRES_ATTR(ColorInterpolationFilters, SkSVGColorspace, true) SVG_PRES_ATTR(FillRule , S",Phase 18 SVG polish,Generator extracted a macro invocation rather than a public method; attribute mutation is exposed through SkSVGNode_setAttribute and typed value wrappers.
